4630,CAMBRIDGESHIRE,52.3833,-0.1784
455,CAMBRIDGESHIRE,52.245,0.10196
457,CAMBRIDGESHIRE,52.3531,-0.11452
583,CAMBRIDGESHIRE,52.611,-0.45963
456,CAMBRIDGESHIRE,52.4012,-0.23532
4643,CAMBRIDGESHIRE,52.4477,-0.18538
4410,CAMBRIDGESHIRE,52.3219,-0.20424
4029,CAMBRIDGESHIRE,52.627,-0.38461
4408,CAMBRIDGESHIRE,52.2853,-0.30657
4627,CAMBRIDGESHIRE,52.3943,0.24982
4622,CAMBRIDGESHIRE,52.4398,0.04574
4499,CAMBRIDGESHIRE,52.1328,0.31029
4424,CAMBRIDGESHIRE,52.277,-0.11098
4459,CAMBRIDGESHIRE,52.1218,0.24212
4228,CAMBRIDGESHIRE,52.5764,-0.12256
4458,CAMBRIDGESHIRE,52.1156,0.2891
4510,CAMBRIDGESHIRE,52.3039,0.25542
4451,CAMBRIDGESHIRE,52.0587,0.13152
4649,CAMBRIDGESHIRE,52.5065,-0.15978
18913,CAMBRIDGESHIRE,52.2249,0.22563
11728,CHESHIRE,53.1931,-2.86985
1132,CHESHIRE,53.0859,-2.52463
11730,CHESHIRE,53.1937,-2.90768
12141,CHESHIRE,53.2397,-2.07644
11769,CHESHIRE,53.228,-2.74447
12145,CHESHIRE,53.3003,-2.154
11810,CHESHIRE,53.166,-2.64629
11807,CHESHIRE,53.1465,-2.66326
11797,CHESHIRE,53.0922,-2.56578
11785,CHESHIRE,52.9646,-2.45824
1130,CHESHIRE,53.2714,-3.04521
11826,CHESHIRE,53.0918,-2.25447
11768,CHESHIRE,53.2272,-2.69707
12147,CHESHIRE,53.2763,-2.04778
11719,CHESHIRE,53.1412,-2.95449
11780,CHESHIRE,53.054,-2.66904
11803,CHESHIRE,53.1127,-2.50083
11836,CHESHIRE,53.2235,-2.2732
11770,CHESHIRE,53.2633,-2.86027
11805,CHESHIRE,53.2043,-2.65783
12177,CHESHIRE,53.3795,-2.62781
11841,CHESHIRE,53.2624,-2.54032
11811,CHESHIRE,53.2016,-2.52338
18941,CLEVELAND,54.5832,-1.34698
11589,CLWYD,53.2495,-3.5058
11494,CLWYD,53.0487,-3.71425
11714,CLWYD,53.0711,-3.12928
11537,CLWYD,53.0577,-3.37541
17210,CLWYD,53.0616,-3.55253
1149,CLWYD,53.2907,-3.71335
1141,CLWYD,53.3414,-3.41069
1144,CLWYD,53.1752,-2.98499
11668,CLWYD,52.9999,-3.08095
1155,CLWYD,52.8856,-3.25438
1153,CLWYD,53.1156,-3.29537
1154,CLWYD,53.149,-3.19541
18950,CLWYD,53.1867,-3.39159
11664,CLWYD,52.9715,-3.08002
11594,CLWYD,53.2684,-3.1712
11582,CLWYD,53.2644,-3.44973
1148,CLWYD,53.0971,-3.78833
11691,CLWYD,53.0251,-2.95318
11731,CLWYD,53.1612,-2.96858
1142,CLWYD,53.2196,-3.20768
17089,CORK,51.799,-8.24993
8703,CORNWALL,50.2183,-5.17352
8736,CORNWALL,50.1267,-5.56794
1418,CORNWALL,50.828,-4.54483
8591,CORNWALL,50.7588,-4.38981
8599,CORNWALL,50.6599,-4.35837
1417,CORNWALL,50.5615,-4.47989
8631,CORNWALL,50.4601,-4.24597
8780,CORNWALL,50.6181,-4.64642
1393,CORNWALL,50.0838,-5.25609
8782,CORNWALL,50.5583,-4.63675
8711,CORNWALL,50.1601,-5.11275
8624,CORNWALL,50.6035,-4.51208
8648,CORNWALL,50.4802,-4.46124
8625,CORNWALL,50.5974,-4.42129
8596,CORNWALL,50.6951,-4.59265
8690,CORNWALL,50.1755,-5.01154
8795,CORNWALL,50.5747,-4.71809
1415,CORNWALL,50.5016,-4.66579
8769,CORNWALL,50.4374,-4.94738
8636,CORNWALL,50.5436,-4.41488
8668,CORNWALL,50.4309,-4.68095
8661,CORNWALL,50.4938,-4.53003
8626,CORNWALL,50.546,-4.31902
8699,CORNWALL,50.2489,-5.03933
8652,CORNWALL,50.4406,-4.47716
8645,CORNWALL,50.3663,-4.22892
1395,CORNWALL,50.2178,-5.32656
8587,CORNWALL,50.8707,-4.42547
8718,CORNWALL,50.1304,-5.24982
12823,CUMBRIA,54.5106,-3.02259
1073,CUMBRIA,54.6699,-2.78644
13000,CUMBRIA,54.7167,-2.69236
12936,CUMBRIA,54.5738,-2.48829
12828,CUMBRIA,54.548,-3.06229
13028,CUMBRIA,54.8762,-2.66167
12695,CUMBRIA,54.3991,-2.91044
12755,CUMBRIA,54.3753,-3.15586
